status,old,new,status_code,actual_url,redirects
FAIL,/newsroom,/company/news,200,/en-us/company/news,/en-us/company/news
FAIL,/category/newsroom/page/3,/company/news,200,/en-us/company/news,/en-us/company/news
FAIL,/fr/newsletter-fr,/company/news,200,/en-us/company/news,/en-us/company/news
FAIL,/executive-team,/company/leadership,200,/en-us/company/leadership,/en-us/company/leadership
FAIL,/jda-training,/services/software/jda,200,/en-us/services/software/jda,/en-us/services/software/jda
FAIL,/redprairie-wms,/services/software/jda,200,/en-us/services/software/jda,/en-us/services/software/jda
FAIL,/labor-management-implementation/,/services/systems/labor-management,200,/en-us/services/consulting-services/systems-implementation,/labor-management-implementation -> /en-us/services/consulting-services/systems-implementation
FAIL,/jda-training/,/services/software/jda,200,/en-us/services/software/jda,/jda-training -> /en-us/services/software/jda
GOOD,/fr/feed,/fr,200,/fr,/fr
GOOD,/fr/category/case-studies-fr/feed,/fr,200,/fr,/fr
FAIL,/fr/comments/feed,/fr,200,/en-us,/en-us
GOOD,/fr/category/white-papers-fr/feed,/fr,200,/fr,/fr
GOOD,/fr/category/checklists-fr/feed,/fr,200,/fr,/fr
GOOD,/fr/category/newsroom-fr/feed,/fr,200,/fr,/fr
GOOD,/,/en-us,200,/en-us,/en-us
GOOD,/feed,/en-us,200,/en-us,/ -> /en-us
GOOD,/category/newsroom/feed,/en-us,200,/en-us,/ -> /en-us
GOOD,/comments/feed,/en-us,200,/en-us,/ -> /en-us
GOOD,/category/checklists/feed,/en-us,200,/en-us,/ -> /en-us
GOOD,/category/white-papers/feed,/en-us,200,/en-us,/ -> /en-us
FAIL,/clients,/customers,200,/en-us/customers,/en-us/customers
FAIL,/contact,/contact,200,/en-us/contact,/en-us/contact
FAIL,/testimonials,/customers,200,/en-us/customers,/en-us/customers
FAIL,/contact/,/contact,200,/en-us/contact,/en-us/contact
FAIL,/about-longbow,/company,200,/en-us/company,/en-us/company
FAIL,/jda-redprairie-hosting,/services/consulting-services/cloud-services,200,/en-us/services/consulting-services/cloud-services,/en-us/services/consulting-services/cloud-services
FAIL,/about-longbow/,/company,200,/en-us/company,/about-longbow -> /en-us/company
FAIL,/jda-redprairie-hosting/,/services/consulting-services/cloud-services,200,/en-us/services/consulting-services/cloud-services,/jda-redprairie-hosting -> /en-us/services/consulting-services/cloud-services
FAIL,/careers,/company/careers,200,/en-us/company/careers,/en-us/company/careers
FAIL,/wms-assessment,/services/consulting-services/assessment,200,/en-us/services/consulting-services/assessment,/en-us/services/consulting-services/assessment
